,gseID,journal,pubmed_id,title
689,GSE84498,Nature,28166538,
690,notAvailable,Nature medicine,28165479,
691,notAvailable,eLife,28139976,
692,notAvailable,Nature methods,28135256,
693,GSE84920,Nature methods,28135255,
694,GSE90860,Nature communications,28134272,
695,notAvailable,Nature communications,28128308,
696,notAvailable,Nature communications,28128198,
697,notAvailable,Cell systems,28125787,
698,notAvailable,Nature communications,28112173,
699,notAvailable,Cell stem cell,28111201,
700,notAvailable,Cell,28111070,
701,notAvailable,Nature,28102262,
702,GSE80168,Nature communications,28102192,
703,GSE92872,Nature methods,28099430,
704,notAvailable,Nature communications,28094297,
705,GSE86894,Cell stem cell,28094016,
706,GSE78968,Nature methods,28092691,
707,GSE93421,Nature communications,28091601,
708,notAvailable,Cell,28086091,
709,notAvailable,Nature methods,28068316,
710,notAvailable,Cell systems,28065575,
711,notAvailable,Neuron,28056343,
712,GSE74672,Nature neuroscience,27991900,
713,notAvailable,Molecular cell,27989441,
714,GSE90488_GSE90487_GSE90486,Cell,27984734,
715,GSE90546,Cell,27984733,
716,GSE90063,Cell,27984732,
717,notAvailable,Nature communications,27897270,
718,GSE83948,Cell stem cell,27889318,
719,GSE86417,Cell systems,27883889,
720,notAvailable,Nature,27869821,
721,notAvailable,Nature communications,27869196,
722,GSE87197_GSE87196_GSE87195,Cell stem cell,27867036,
723,notAvailable,Cancer discovery,27864226,
724,GSE87527,Cell,27863245,
725,notAvailable,Immunity,27851916,
726,notAvailable,Immunity,27851914,
727,GSE84785,Cell systems,27840077,
728,notAvailable,Nature communications,27830705,
729,GSE70630,Nature,27806376,
730,notAvailable,Nature communications,27808091,
731,notAvailable,Nature methods,27798612,
732,notAvailable,Nature neuroscience,27618310,
733,notAvailable,Nature,27750279,
734,GSE85241,Cell systems,27693023,
735,GSE75659,Nature genetics,27668657,
736,GSE84133,Cell systems,27667365,
737,notAvailable,eLife,27782885,
738,notAvailable,eLife,27776632,
739,notAvailable,Immunity,27760341,
740,notAvailable,eLife,27614020,
